ASSESSID,commonname,stocklong,scientificname,Years,TB,SSB,TN,R,TC,TL,F,ER,REGION,EW
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1998,,492000,,1.38E+11,,1571000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1999,,500000,,1.46E+11,,1245000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,2000,,650000,,1.40E+11,,1100000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,2001,,450000,,1.42E+11,,933000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,2002,,475000,,1.32E+11,,1071000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,2003,,410000,,57000000000,,1249000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,2004,,535000,,1.24E+11,,988000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,2005,,602000,,66000000000,,741000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,2006,,400000,,31000000000,,783000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,2007,,410000,,44000000000,,238000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,2008,,406000,,78000000000,,377000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,2009,,328000,,,,202000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,2010,,410000,,,,15000,,,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1965,,,,,,224000,,,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1966,,,,,,389000,,,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1967,,,,,,409000,,,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1968,,,,,,537000,,,N Atlantic,E
